"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13108","Verify Add to Cart and Remove functionality directly from the dashboard","","Thu Jan 02 04:03:41 GMT 2025","passed","Thu Jan 02 04:03:54 GMT 2025","","sourceDemo RemoveItem Feature","sourceDemo RemoveItem Feature","Verify Add to Cart and Remove functionality directly from the dashboard"
"","12729","user should be able to login using Valid Credentials","","Thu Jan 02 04:01:51 GMT 2025","passed","Thu Jan 02 04:02:04 GMT 2025","","sourceDemo Add to Cart Feature","sourceDemo Add to Cart Feature","user should be able to login using Valid Credentials"
"","1922","Verify filtering by Price (Low to High)","","Thu Jan 02 04:01:08 GMT 2025","passed","Thu Jan 02 04:01:10 GMT 2025","","sourceDemo Filter Functionality","sourceDemo Filter Functionality","Verify filtering by Price (Low to High)"
"","13501","User should be able to log in using valid credentials and add an item to the cart","","Thu Jan 02 04:00:01 GMT 2025","passed","Thu Jan 02 04:00:15 GMT 2025","","sourceDemo Continue Shipping Feature","sourceDemo Continue Shipping Feature","User should be able to log in using valid credentials and add an item to the cart"
"","11608","user should be able to login using Valid Credentials","","Thu Jan 02 04:02:41 GMT 2025","passed","Thu Jan 02 04:02:53 GMT 2025","","sourceDemo Login Feature","sourceDemo Login Feature","user should be able to login using Valid Credentials"
"","1510","Successfully retrieve a book by valid ID","","Thu Jan 02 03:59:02 GMT 2025","failed","Thu Jan 02 03:59:03 GMT 2025","","API Testing to Retrieve Book Details","API Testing to Retrieve Book Details","Successfully retrieve a book by valid ID"
"","12379","Verify that clicking on an item navigates to the item detail page","","Thu Jan 02 04:03:04 GMT 2025","passed","Thu Jan 02 04:03:17 GMT 2025","","sourceDemo Product Navigation Feature","sourceDemo Product Navigation Feature","Verify that clicking on an item navigates to the item detail page"
"","3328","Verify filtering by Name (Z to A)","","Thu Jan 02 04:01:05 GMT 2025","passed","Thu Jan 02 04:01:08 GMT 2025","","sourceDemo Filter Functionality","sourceDemo Filter Functionality","Verify filtering by Name (Z to A)"
"","24444","Retrieve all books using GET request","","Thu Jan 02 03:58:23 GMT 2025","failed","Thu Jan 02 03:58:47 GMT 2025","","API Testing to Retrieve All Books","API Testing to Retrieve All Books","Retrieve all books using GET request"
"","14804","User should be able to log in using valid credentials and add an item to the cart,and proceed to checkout","","Thu Jan 02 04:01:25 GMT 2025","passed","Thu Jan 02 04:01:39 GMT 2025","","sourceDemo  Checkout Feature","sourceDemo  Checkout Feature","User should be able to log in using valid credentials and add an item to the cart,and proceed to checkout"
"","323","Valid login with user credentials","","Thu Jan 02 03:59:48 GMT 2025","passed","Thu Jan 02 03:59:48 GMT 2025","","API Testing for Login User","API Testing for Login User","Valid login with user credentials"
"","1911","Verify filtering by Price (High to Low)","","Thu Jan 02 04:01:10 GMT 2025","passed","Thu Jan 02 04:01:12 GMT 2025","","sourceDemo Filter Functionality","sourceDemo Filter Functionality","Verify filtering by Price (High to Low)"
"","11834","Verify filtering by Name (A to Z)","","Thu Jan 02 04:00:53 GMT 2025","passed","Thu Jan 02 04:01:05 GMT 2025","","sourceDemo Filter Functionality","sourceDemo Filter Functionality","Verify filtering by Name (A to Z)"
"","350","Adding book with missing data","","Thu Jan 02 04:03:30 GMT 2025","passed","Thu Jan 02 04:03:30 GMT 2025","","API Testing to Insert Books Data","API Testing to Insert Books Data","Adding book with missing data"
"","1628","Successfully adding a new book","","Thu Jan 02 04:03:28 GMT 2025","passed","Thu Jan 02 04:03:30 GMT 2025","","API Testing to Insert Books Data","API Testing to Insert Books Data","Successfully adding a new book"
"","12766","User should be able to add and remove a specific item from the cart","","Thu Jan 02 04:02:16 GMT 2025","passed","Thu Jan 02 04:02:29 GMT 2025","","sourceDemo Item Remove from Cart Feature","sourceDemo Item Remove from Cart Feature","User should be able to add and remove a specific item from the cart"
"","357","Invalid login with admin credentials","","Thu Jan 02 03:59:48 GMT 2025","passed","Thu Jan 02 03:59:48 GMT 2025","","API Testing for Login User","API Testing for Login User","Invalid login with admin credentials"
"","469","Attempt to retrieve a book with an invalid ID","","Thu Jan 02 03:59:03 GMT 2025","passed","Thu Jan 02 03:59:04 GMT 2025","","API Testing to Retrieve Book Details","API Testing to Retrieve Book Details","Attempt to retrieve a book with an invalid ID"
